"age","newspapers","tv","radio","websites","socmed","doctor","healthprof","gov","famfriend","vacdistrust"
65,4,4,4,3,1,1,4,4,3,1
57,3,4,1,2,2,1,2,2,2,3
42,4,4,3,3,3,4,3,3,4,1
33,1,1,3,2,1,1,1,3,3,1
35,1,2,1,2,2,1,1,1,2,3
63,1,4,1,1,1,1,1,1,1,1
70,1,4,3,2,2,2,2,2,3,1
53,1,4,1,2,2,2,1,2,2,1
34,1,4,1,4,3,1,1,2,2,1
30,3,2,2,3,2,2,2,2,2,5
31,1,4,1,4,1,1,1,2,2,5
53,1,4,3,3,2,1,3,3,1,1
63,1,2,1,2,2,1,1,2,1,3
72,1,1,1,3,1,1,1,3,3,2
46,1,4,1,3,3,1,1,1,1,2
53,2,2,2,1,1,2,2,1,2,2
37,3,3,3,4,4,2,2,4,3,2
40,4,4,2,3,2,1,1,2,2,1
55,4,4,1,4,4,1,3,4,3,1
50,3,3,3,3,3,3,3,3,3,1
43,1,4,2,4,3,1,1,2,1,2
46,1,4,1,3,3,1,1,4,3,1
58,3,4,3,1,1,1,1,1,2,2
43,1,2,2,3,2,1,1,2,2,3
62,4,2,2,4,1,1,1,3,2,2
74,4,4,4,4,4,1,3,4,3,1
67,4,2,1,1,1,1,1,4,1,2
43,1,4,3,3,3,1,1,4,3,3
58,1,3,1,3,1,1,1,3,3,3
46,1,3,1,4,3,2,1,1,1,2
45,2,3,1,1,1,1,2,2,1,1
62,1,4,1,1,3,1,1,1,1,2
29,2,3,3,2,2,1,1,2,2,2
41,2,2,2,2,2,1,1,2,2,3
69,3,4,2,2,2,2,2,3,3,3
66,4,4,4,3,1,3,3,3,3,2
66,4,4,3,3,1,3,2,3,2,2
72,3,3,3,1,1,1,1,3,1,1
79,3,4,4,3,2,1,1,2,1,1
63,2,3,1,2,2,1,1,3,2,2
74,3,3,2,3,3,1,4,3,2,1
58,2,3,1,2,2,1,1,2,1,3
56,1,4,2,4,4,1,1,2,3,2
52,2,2,2,2,2,2,2,2,2,2
